University_Name,Location,Ranking,Tutionfee,Enrollment
University of Connecticut,Storrs,71,"[['full-time', '$16,908 per year (in-state)'], ['full-time', '$38,820 per year (out-of-state)'], ['part-time', '$940 per credit (in-state)'], ['part-time', '$2,157 per credit (out-of-state)']]",598
George Washington University,Washington,75,"[['full-time', '$1,825 per credit'], ['part-time', '$1,825 per credit']]",820
University of North Carolina--Chapel Hill,Chapel Hill,75,"[['full-time', '$11,418 per year (in-state)'], ['full-time', '$28,387 per year (out-of-state)']]",130
Washington State University,Pullman,77,"[['full-time', '$6,169 per year (in-state)'], ['full-time', '$13,218 per year (out-of-state)'], ['part-time', '$617 per credit (in-state)'], ['part-time', '$1,322 per credit (out-of-state)']]",498
Wichita State University,Wichita,77,"[['full-time', '$5,544 per year (in-state)'], ['full-time', '$13,615 per year (out-of-state)'], ['part-time', '$2,772 per year (in-state)'], ['part-time', '$6,808 per year (out-of-state)']]",208
Drexel University,Philadelphia,79,"[['full-time', '$1,342 per credit'], ['part-time', '$1,342 per credit']]",493
Stevens Institute of Technology (Schaefer),Hoboken,79,"[['full-time', '$37,414 per year'], ['part-time', '$1,686 per credit']]","1,295"
,,,,
Syracuse University,Syracuse,79,"[['full-time', '$1,683 per credit'], ['part-time', '$1,683 per credit']]",648
University of California--Riverside (Bourns),Riverside,79,"[['full-time', '$11,442 per year (in-state)'], ['full-time', '$29,754 per year (out-of-state)'], ['part-time', '$5,721 per year (in-state)'], ['part-time', '$14,877 per year (out-of-state)']]",767
University of Illinois--Chicago,Chicago,79,"[['full-time', '$16,298 per year (in-state)'], ['full-time', '$29,166 per year (out-of-state)'], ['part-time', '$10,866 per year (in-state)'], ['part-time', '$19,444 per year (out-of-state)']]",935
Missouri University of Science & Technology--Rolla,Rolla,84,"[['full-time', '$435 per credit (in-state)'], ['full-time', '$1,232 per credit (out-of-state)'], ['part-time', '$435 per credit (in-state)'], ['part-time', '$1,232 per credit (out-of-state)']]",564
University of Iowa,Iowa City,84,"[['full-time', '$10,079 per year (in-state)'], ['full-time', '$29,026 per year (out-of-state)']]",318
University of New Mexico,Albuquerque,84,"[['full-time', '$444 per credit (in-state)'], ['full-time', '$1,142 per credit (out-of-state)']]",767
University of Texas--Arlington,Arlington,84,"[['full-time', '$8,869 per year (in-state)'], ['full-time', '$21,701 per year (out-of-state)'], ['part-time', '$6,006 per year (in-state)'], ['part-time', '$14,668 per year (out-of-state)']]","1,398"
Illinois Institute of Technology (Armour),Chicago,88,"[['full-time', '$29,052 per year'], ['part-time', '$1,614 per credit']]",769
